id,score_date,customer_age_sales_interaction,utilization_ratio,combined_plus,discount_category,seat_utilisation_result,target,category_sale_Negative,category_sale_Neutral,category_sale_Positive,subscription_renewal
JMAN_2458020,2023-03-17,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_13993883,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_9071046,2023-01-13,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9026440,2023-02-17,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2463960,2023-03-31,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_10364413,2023-03-17,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_2449317,2023-01-13,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_2473478,2023-03-31,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2439200,2023-03-03,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_2452274,2023-01-13,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_18391348,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2476016,2023-03-24,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2453701,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_11265556,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2468805,2023-03-17,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_11200796,2023-03-17,14,1.0,2.0,1,0,1,0,0,1,13
JMAN_11118444,2023-01-27,6,1.0,2.0,0,0,0,0,0,1,12
JMAN_9023120,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9383192,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9803968,2023-03-17,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9031290,2023-01-13,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9029087,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2473827,2023-01-20,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_9086153,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9003408,2023-03-24,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_9014366,2023-03-31,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_2448264,2023-02-24,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_9026918,2023-03-17,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_2463786,2023-01-27,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2461549,2023-01-20,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2465336,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_12472512,2023-02-10,0,1.0,,1,1,1,1,0,0,13
JMAN_2469170,2023-03-17,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_9037476,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2464850,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2457464,2023-03-31,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2447281,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2457464,2023-01-27,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2450157,2023-01-13,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_9027650,2023-01-13,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9041676,2023-03-17,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9014565,2023-03-31,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9036481,2023-02-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9028070,2023-03-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2476152,2023-03-31,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_18057083,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_9035528,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2453581,2023-03-03,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2473799,2023-03-31,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2468805,2023-03-03,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_2474070,2023-01-20,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_11201598,2023-03-24,5,1.0,2.0,1,0,1,0,0,1,13
JMAN_2379983,2023-02-17,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2457132,2023-02-03,0,1.0377358490566038,,1,1,1,1,0,0,13
JMAN_18409956,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_18149360,2023-01-20,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_18149360,2023-01-13,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_17630843,2023-03-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9079368,2023-03-31,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_10592358,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9034089,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_18354320,2023-01-20,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9747161,2023-03-24,12,1.0,2.0,1,0,1,0,0,1,13
JMAN_9034647,2023-03-31,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_9702646,2023-02-24,12,1.0,2.0,1,0,1,0,0,1,13
JMAN_9001490,2023-03-03,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_10535735,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2454712,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2453288,2023-02-17,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_18410392,2023-01-27,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2319823,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9129318,2023-01-06,0,1.0,,1,1,1,1,0,0,13
JMAN_2481898,2023-03-17,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9004606,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_2475394,2023-02-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_15078349,2023-02-24,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2481325,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2396226,2023-02-24,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_9021651,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9022776,2023-03-24,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_9242624,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2474033,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9026440,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_9056184,2023-02-10,0,0.8571428571428571,,1,1,1,1,0,0,13
JMAN_2482561,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2456281,2023-02-17,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_11249333,2023-03-24,6,1.0,2.0,1,0,1,0,0,1,13
JMAN_9021732,2023-01-13,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_9059722,2023-02-24,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_2433825,2023-02-24,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_18127929,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_18410388,2023-03-17,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2462717,2023-01-13,16,1.0,3.0,1,0,1,0,0,1,13
JMAN_2453359,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_10575478,2023-02-17,8,1.0,3.0,1,0,1,0,0,1,13
JMAN_9258120,2023-03-17,11,1.0,2.0,1,0,1,0,0,1,13
JMAN_2468303,2023-03-31,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_9004478,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_18390982,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_9023149,2023-01-13,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_2481177,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_9001356,2023-02-17,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2470297,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_11604060,2023-02-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2390400,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2464269,2023-01-13,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_9001380,2023-02-24,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_9021651,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2449317,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2472373,2023-03-10,0,1.1666666666666667,,1,0,1,1,0,0,13
JMAN_2452751,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2457731,2023-03-31,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_2450544,2023-02-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9021157,2023-03-31,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_2447191,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_1286382,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2478470,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9036591,2023-01-20,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_2331419,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2475429,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2475334,2023-03-31,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_2479512,2023-03-17,13,1.0,2.0,1,0,1,0,0,1,13
JMAN_9032708,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2461834,2023-02-24,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2445795,2023-03-31,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_2469134,2023-03-31,16,1.0,3.0,1,0,1,0,0,1,13
JMAN_2447281,2023-02-17,17,1.5,2.0,1,0,1,0,0,1,13
JMAN_11633303,2023-01-13,44,1.0,2.0,1,0,1,0,0,1,13
JMAN_2445669,2023-03-03,0,1.1333333333333333,1.0,1,0,1,0,1,0,13
JMAN_18362858,2023-03-03,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2375196,2023-01-27,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9892189,2023-03-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9031450,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2483334,2023-03-10,0,1.1,,1,0,1,1,0,0,13
JMAN_2475019,2023-01-20,17,1.0,2.0,1,1,1,0,0,1,13
JMAN_9471063,2023-03-24,13,1.0,2.0,1,0,1,0,0,1,13
JMAN_2478834,2023-01-20,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_16385554,2023-01-13,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_9005021,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2476115,2023-02-17,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_9051235,2023-02-17,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_9391855,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9018166,2023-01-13,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_9897409,2023-03-31,11,1.0,2.0,1,0,1,0,0,1,13
JMAN_18410412,2023-02-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2461712,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2472640,2023-03-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2469134,2023-01-27,15,1.5,3.0,1,0,1,0,0,1,13
JMAN_2464850,2023-02-10,0,0.1666666666666666,,1,0,1,1,0,0,13
JMAN_2442325,2023-01-13,0,1.0,0.0,1,0,0,1,0,0,7
JMAN_9008468,2023-01-20,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_109835,2023-01-13,44,1.0,3.0,1,0,1,0,0,1,13
JMAN_9075221,2023-01-27,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_18410830,2023-01-13,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_9022859,2023-01-20,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9031253,2023-03-31,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_9003316,2023-03-24,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2468132,2023-02-24,0,0.3333333333333333,1.0,1,0,1,0,1,0,13
JMAN_9036732,2023-02-24,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2482605,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_9059722,2023-01-13,16,0.8461538461538461,3.0,0,1,1,0,0,1,13
JMAN_2351429,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_18127929,2023-02-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2462717,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_9034076,2023-02-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9034076,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9004072,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_18390619,2023-03-17,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2453359,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_10148809,2023-02-24,14,1.0,3.0,1,0,1,0,0,1,13
JMAN_9029612,2023-01-13,0,1.0,1.0,1,0,0,0,1,0,10
JMAN_10715453,2023-01-13,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2449949,2023-01-20,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_16164717,2023-02-03,0,1.0,,1,1,1,1,0,0,13
JMAN_9019742,2023-02-17,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_16090733,2023-03-31,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9002159,2023-02-17,16,1.0,3.0,1,0,1,0,0,1,13
JMAN_2414128,2023-03-24,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_2480262,2023-01-13,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_9030043,2023-01-13,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_9028695,2023-03-31,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_2438346,2023-03-17,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2466569,2023-03-31,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_2463062,2023-03-31,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_18839586,2023-03-17,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_15336980,2023-02-03,0,1.0,,1,0,0,1,0,0,9
JMAN_9014349,2023-02-24,15,1.0,3.0,1,1,1,0,0,1,13
JMAN_2451881,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_12581551,2023-01-13,4,1.0,2.0,1,0,1,0,0,1,13
JMAN_11272416,2023-02-24,6,1.0,2.0,1,0,1,0,0,1,13
JMAN_9357280,2023-01-13,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2357251,2023-02-24,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_2465581,2023-01-13,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_9000240,2023-03-31,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_14142262,2023-01-13,2,1.0,2.0,1,0,1,0,0,1,13
JMAN_2375471,2023-01-27,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2462569,2023-01-27,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9662440,2023-02-24,11,1.0,3.0,1,0,1,0,0,1,13
JMAN_2483316,2023-01-27,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_2452556,2023-03-31,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_2462717,2023-03-03,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_9036591,2023-03-17,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_10148809,2023-03-24,14,1.0,3.0,1,0,1,0,0,1,13
JMAN_9016394,2023-03-31,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_12791979,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2452905,2023-01-13,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9033523,2023-03-17,13,1.0,3.0,1,0,1,0,0,1,13
JMAN_9028182,2023-03-03,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_16090733,2023-03-03,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2451330,2023-01-20,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_2451905,2023-01-20,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_2453288,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2457086,2023-01-20,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2467540,2023-01-27,0,1.0,1.0,1,0,0,0,1,0,7
JMAN_9014349,2023-03-17,15,1.0,3.0,1,0,1,0,0,1,13
JMAN_10281567,2023-03-31,9,1.0,2.0,1,0,1,0,0,1,13
JMAN_2474309,2023-01-20,0,1.0,0.0,1,0,0,1,0,0,4
JMAN_9028556,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_10489734,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_18411228,2023-02-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_15702888,2023-01-27,0,1.0,1.0,1,0,0,0,1,0,12
JMAN_16079210,2023-03-17,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9007298,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_18409944,2023-03-17,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9034141,2023-03-03,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2478316,2023-01-20,17,1.0588235294117647,3.0,0,0,1,0,0,1,13
JMAN_18409542,2023-03-17,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_2456801,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_9026942,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2393214,2023-02-24,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_9019962,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_9164427,2023-03-03,16,1.0,3.0,1,0,1,0,0,1,13
JMAN_12537206,2023-02-17,4,1.0,2.0,1,0,1,0,0,1,13
JMAN_9003564,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_12472512,2023-03-31,3,1.0,2.0,1,0,1,0,0,1,13
JMAN_2472417,2023-03-03,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_11604060,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_14459683,2023-03-03,2,1.0,2.0,1,0,1,0,0,1,13
JMAN_2481325,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_9071046,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_2468132,2023-02-03,0,0.6,,1,1,1,1,0,0,13
JMAN_2471256,2023-03-31,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_9034076,2023-03-17,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9000101,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_9603377,2023-01-20,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9036409,2023-03-24,14,1.0,2.0,1,0,1,0,0,1,13
JMAN_11201598,2023-03-03,5,1.0,2.0,1,0,1,0,0,1,13
JMAN_9035932,2023-01-13,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_10355825,2023-02-24,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_18410392,2023-01-13,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2464269,2023-03-10,0,0.3333333333333333,,1,1,1,1,0,0,13
JMAN_9056802,2023-01-27,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_9384676,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2480393,2023-03-17,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_9014565,2023-03-03,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9311958,2023-03-24,14,1.0,2.0,1,1,1,0,0,1,13
JMAN_2450544,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9031987,2023-01-13,14,1.0,3.0,1,0,1,0,0,1,13
JMAN_9036591,2023-03-03,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_2473315,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_10575478,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_9021088,2023-03-24,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_9332838,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2457657,2023-01-27,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_2476200,2023-01-27,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2461723,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9754365,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_9004478,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_9028996,2023-03-24,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_11096413,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_2448185,2023-03-31,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_11633303,2023-01-06,0,1.0,,1,1,1,1,0,0,13
JMAN_18411233,2023-02-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2452473,2023-02-17,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_9027650,2023-02-17,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_18410830,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_10159761,2023-03-17,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9071046,2023-03-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2450463,2023-02-10,0,1.0,,1,0,1,1,0,0,13
